"mutant name","mutant type","killed","tests that killed"
"ATCS_1","?","1",", tc_3"
"ATCS_10","?","1",", tc_6"
"ATCS_11","?","1",", tc_6"
"ATCS_12","?","1",", tc_6"
"ATCS_13","?","1",", tc_3"
"ATCS_14","?","1",", tc_3"
"ATCS_15","?","1",", tc_3"
"ATCS_16","?","1",", tc_3"
"ATCS_17","?","1",", tc_3"
"ATCS_18","?","1",", tc_1"
"ATCS_19","?","1",", tc_3"
"ATCS_2","?","1",", tc_3"
"ATCS_20","?","1",", tc_6"
"ATCS_21","?","1",", tc_6"
"ATCS_22","?","1",", tc_1"
"ATCS_23","?","1",", tc_3"
"ATCS_24","?","1",", tc_3"
"ATCS_25","?","1",", tc_3"
"ATCS_26","?","1",", tc_6"
"ATCS_27","?","1",", tc_6"
"ATCS_28","?","1",", tc_3"
"ATCS_29","?","1",", tc_1"
"ATCS_3","?","1",", tc_3"
"ATCS_30","?","1",", tc_3"
"ATCS_31","?","1",", tc_6"
"ATCS_32","?","1",", tc_3"
"ATCS_33","?","1",", tc_6"
"ATCS_34","?","0",""
"ATCS_35","?","1",", tc_1"
"ATCS_36","?","1",", tc_1"
"ATCS_37","?","1",", tc_3"
"ATCS_38","?","1",", tc_3"
"ATCS_39","?","1",", tc_3"
"ATCS_4","?","1",", tc_3"
"ATCS_40","?","1",", tc_3"
"ATCS_41","?","1",", tc_3"
"ATCS_5","?","0",""
"ATCS_6","?","1",", tc_3"
"ATCS_7","?","1",", tc_6"
"ATCS_8","?","1",", tc_3"
"ATCS_9","?","1",", tc_6"
