"mutant name","mutant type","killed","tests that killed"
"fim_10_abs","-","0",""
"fim_10_delay","-","1",", tc_2, tc_3, tc_4"
"fim_10_invert","-","1",", tc_3, tc_4"
"fim_10_nagate","-","1",", tc_14, tc_15, tc_16"
"fim_10_stuck0","-","1",", tc_15, tc_16"
"fim_11_abs","-","1",", tc_7, tc_8"
"fim_11_delay","-","1",", tc_2, tc_3, tc_4"
"fim_11_invert","-","1",", tc_6, tc_7, tc_8"
"fim_11_nagate","-","1",", tc_14, tc_15, tc_16"
"fim_11_stuck0","-","0",""
"fim_12_delay","-","1",", tc_2, tc_3, tc_4"
"fim_12_invert","-","1",", tc_2, tc_3, tc_4"
"fim_12_stuck0","-","1",", tc_6, tc_7, tc_8"
"fim_13_delay","-","1",", tc_6, tc_7, tc_8"
"fim_1_abs","-","1",", tc_21, tc_22, tc_23, tc_24"
"fim_1_delay","-","0",""
"fim_1_invert","-","1",", tc_14, tc_15"
"fim_1_nagate","-","1",", tc_21, tc_22, tc_23, tc_24"
"fim_1_stuck0","-","1",", tc_2, tc_3, tc_4"
"fim_2_abs","-","0",""
"fim_2_nagate","-","1",", tc_13, tc_15, tc_16"
"fim_3_abs","-","1",", tc_5, tc_6, tc_7, tc_8"
"fim_3_delay","-","0",""
"fim_3_invert","-","1",", tc_13, tc_15, tc_16"
"fim_3_nagate","-","1",", tc_29, tc_30, tc_31, tc_32"
"fim_3_stuck0","-","1",", tc_13, tc_15, tc_16"
"fim_4_abs","-","1",", tc_21, tc_22, tc_23, tc_24"
"fim_4_delay","-","0",""
"fim_4_invert","-","1",", tc_5, tc_6, tc_7, tc_8"
"fim_4_nagate","-","1",", tc_2, tc_3, tc_4"
"fim_4_stuck0","-","1",", tc_5, tc_6, tc_7, tc_8"
"fim_5_abs","-","1",", tc_21, tc_22, tc_23, tc_24"
"fim_5_delay","-","0",""
"fim_5_invert","-","1",", tc_14, tc_15"
"fim_5_nagate","-","1",", tc_13, tc_15, tc_16"
"fim_5_stuck0","-","1",", tc_14, tc_15, tc_16"
"fim_6_abs","-","1",", tc_1, tc_4"
"fim_6_delay","-","0",""
"fim_6_invert","-","1",", tc_7"
"fim_6_nagate","-","1",", tc_1, tc_2, tc_3, tc_4"
"fim_6_stuck0","-","1",", tc_1, tc_4"
"fim_7_abs","-","1",", tc_5"
"fim_7_delay","-","1",", tc_2, tc_3, tc_4"
"fim_7_invert","-","1",", tc_1, tc_2, tc_3, tc_4"
"fim_7_nagate","-","1",", tc_29, tc_30, tc_31, tc_32"
"fim_7_stuck0","-","1",", tc_13, tc_14, tc_15, tc_16"
"fim_8_abs","-","1",", tc_6, tc_7, tc_8"
"fim_8_delay","-","1",", tc_14, tc_15, tc_16"
"fim_8_invert","-","1",", tc_25, tc_26, tc_27, tc_28"
"fim_8_nagate","-","1",", tc_2, tc_3, tc_4"
"fim_8_stuck0","-","1",", tc_5"
"fim_9_abs","-","1",", tc_15, tc_16"
"fim_9_invert","-","1",", tc_2, tc_3, tc_4"
"fim_9_nagate","-","1",", tc_14, tc_15, tc_16"
"fim_9_stuck0","-","1",", tc_2, tc_3, tc_4"
