"mutant name","mutant type","killed","tests that killed"
"tustinintegrator_1","-","1",", tc_2, tc_3, tc_4"
"tustinintegrator_10","-","1",", tc_3, tc_4"
"tustinintegrator_11","-","1",", tc_3, tc_4"
"tustinintegrator_12","-","1",", tc_2, tc_4"
"tustinintegrator_14","-","0",""
"tustinintegrator_15","-","1",", tc_3, tc_4"
"tustinintegrator_16","-","0",""
"tustinintegrator_17","-","1",", tc_3, tc_4"
"tustinintegrator_18","-","0",""
"tustinintegrator_19","-","0",""
"tustinintegrator_2","-","1",", tc_3, tc_4"
"tustinintegrator_20","-","0",""
"tustinintegrator_21","-","0",""
"tustinintegrator_24","-","1",", tc_4"
"tustinintegrator_25","-","1",", tc_4"
"tustinintegrator_3","-","1",", tc_3, tc_4"
"tustinintegrator_4","-","1",", tc_2, tc_4"
"tustinintegrator_5","-","1",", tc_2, tc_4"
"tustinintegrator_6","-","1",", tc_3, tc_4"
"tustinintegrator_7","-","1",", tc_3, tc_4"
"tustinintegrator_8","-","1",", tc_3, tc_4"
"tustinintegrator_9","-","0",""
