"mutant name","mutant type","killed","tests that killed"
"tustinintegrator_1","-","1",", tc_3"
"tustinintegrator_10","-","1",", tc_3"
"tustinintegrator_11","-","1",", tc_7"
"tustinintegrator_12","-","1",", tc_7"
"tustinintegrator_14","-","0",""
"tustinintegrator_15","-","1",", tc_7"
"tustinintegrator_16","-","0",""
"tustinintegrator_17","-","1",", tc_7"
"tustinintegrator_18","-","0",""
"tustinintegrator_19","-","0",""
"tustinintegrator_2","-","1",", tc_3"
"tustinintegrator_20","-","0",""
"tustinintegrator_21","-","0",""
"tustinintegrator_24","-","0",""
"tustinintegrator_25","-","0",""
"tustinintegrator_3","-","1",", tc_3"
"tustinintegrator_4","-","1",", tc_7"
"tustinintegrator_5","-","1",", tc_7"
"tustinintegrator_6","-","1",", tc_3, tc_4"
"tustinintegrator_7","-","1",", tc_3"
"tustinintegrator_8","-","1",", tc_3"
"tustinintegrator_9","-","0",""
