"mutant name","mutant type","killed","tests that killed"
"fim_0_delay","?","1",", tc_1"
"fim_0_negate","?","0",""
"fim_0_stuckzero","?","0",""
"fim_10_delay","?","1",", tc_1"
"fim_10_negate","?","1",", tc_1"
"fim_10_stuckzero","?","0",""
"fim_11_negate","?","1",", tc_1"
"fim_12_abs","?","0",""
"fim_12_invert","?","0",""
"fim_12_offset","?","1",", tc_4"
"fim_13_abs","?","0",""
"fim_13_invert","?","1",", tc_1"
"fim_13_offset","?","1",", tc_4"
"fim_14_abs","?","0",""
"fim_14_invert","?","1",", tc_1"
"fim_14_offset","?","0",""
"fim_15_abs","?","0",""
"fim_15_invert","?","1",", tc_1"
"fim_15_offset","?","1",", tc_1"
"fim_16_abs","?","0",""
"fim_16_invert","?","1",", tc_4"
"fim_16_offset","?","0",""
"fim_17_abs","?","0",""
"fim_17_invert","?","0",""
"fim_17_offset","?","0",""
"fim_18_abs","?","0",""
"fim_18_invert","?","1",", tc_4"
"fim_18_offset","?","1",", tc_1"
"fim_19_abs","?","0",""
"fim_19_invert","?","0",""
"fim_19_offset","?","0",""
"fim_1_delay","?","0",""
"fim_1_negate","?","1",", tc_4"
"fim_1_stuckzero","?","1",", tc_4"
"fim_20_abs","?","0",""
"fim_20_invert","?","0",""
"fim_20_offset","?","0",""
"fim_21_abs","?","0",""
"fim_21_invert","?","1",", tc_4"
"fim_21_offset","?","0",""
"fim_22_abs","?","0",""
"fim_22_invert","?","1",", tc_4"
"fim_22_offset","?","1",", tc_4"
"fim_23_abs","?","0",""
"fim_23_invert","?","1",", tc_1"
"fim_23_offset","?","0",""
"fim_24_abs","?","0",""
"fim_24_invert","?","1",", tc_1"
"fim_24_offset","?","0",""
"fim_25_abs","?","0",""
"fim_25_invert","?","0",""
"fim_25_offset","?","0",""
"fim_26_abs","?","0",""
"fim_26_offset","?","0",""
"fim_27_delay","?","1",", tc_4"
"fim_27_negate","?","0",""
"fim_27_stuckzero","?","1",", tc_4"
"fim_28_delay","?","0",""
"fim_28_negate","?","0",""
"fim_29_abs","?","0",""
"fim_29_invert","?","1",", tc_4"
"fim_29_offset","?","0",""
"fim_2_delay","?","1",", tc_4"
"fim_2_negate","?","1",", tc_4"
"fim_2_stuckzero","?","1",", tc_4"
"fim_30_abs","?","0",""
"fim_30_invert","?","1",", tc_1"
"fim_30_offset","?","1",", tc_4"
"fim_31_delay","?","1",", tc_4"
"fim_31_negate","?","0",""
"fim_32_abs","?","0",""
"fim_32_offset","?","0",""
"fim_33_delay","?","0",""
"fim_33_negate","?","1",", tc_1"
"fim_33_stuckzero","?","0",""
"fim_34_negate","?","0",""
"fim_35_abs","?","0",""
"fim_35_invert","?","1",", tc_1"
"fim_35_offset","?","0",""
"fim_36_abs","?","0",""
"fim_36_invert","?","1",", tc_4"
"fim_36_offset","?","0",""
"fim_37_abs","?","0",""
"fim_37_invert","?","0",""
"fim_37_offset","?","0",""
"fim_38_delay","?","0",""
"fim_38_negate","?","0",""
"fim_38_stuckzero","?","1",", tc_4"
"fim_39_negate","?","0",""
"fim_3_delay","?","1",", tc_4"
"fim_3_negate","?","1",", tc_1"
"fim_3_stuckzero","?","1",", tc_4"
"fim_40_abs","?","0",""
"fim_40_offset","?","0",""
"fim_41_negate","?","1",", tc_1"
"fim_42_abs","?","0",""
"fim_42_offset","?","0",""
"fim_43_delay","?","0",""
"fim_43_negate","?","0",""
"fim_43_stuckzero","?","0",""
"fim_44_delay","?","0",""
"fim_44_negate","?","1",", tc_1"
"fim_44_stuckzero","?","1",", tc_4"
"fim_45_delay","?","1",", tc_1"
"fim_45_negate","?","1",", tc_1"
"fim_46_abs","?","0",""
"fim_46_offset","?","0",""
"fim_47_delay","?","0",""
"fim_47_negate","?","0",""
"fim_48_abs","?","0",""
"fim_48_invert","?","0",""
"fim_48_offset","?","0",""
"fim_49_abs","?","0",""
"fim_49_invert","?","1",", tc_4"
"fim_49_offset","?","0",""
"fim_4_delay","?","0",""
"fim_4_negate","?","1",", tc_4"
"fim_4_stuckzero","?","0",""
"fim_50_negate","?","0",""
"fim_51_abs","?","0",""
"fim_51_offset","?","0",""
"fim_52_delay","?","0",""
"fim_52_negate","?","0",""
"fim_52_stuckzero","?","0",""
"fim_53_delay","?","0",""
"fim_53_negate","?","1",", tc_4"
"fim_53_stuckzero","?","0",""
"fim_54_negate","?","0",""
"fim_55_abs","?","0",""
"fim_55_invert","?","0",""
"fim_55_offset","?","0",""
"fim_56_abs","?","0",""
"fim_56_invert","?","1",", tc_4"
"fim_56_offset","?","1",", tc_4"
"fim_57_abs","?","0",""
"fim_57_invert","?","0",""
"fim_57_offset","?","1",", tc_1"
"fim_58_abs","?","0",""
"fim_58_invert","?","0",""
"fim_58_offset","?","1",", tc_1"
"fim_59_delay","?","0",""
"fim_59_negate","?","1",", tc_1"
"fim_59_stuckzero","?","0",""
"fim_5_delay","?","1",", tc_4"
"fim_5_negate","?","1",", tc_4"
"fim_5_stuckzero","?","1",", tc_4"
"fim_60_negate","?","1",", tc_1"
"fim_61_abs","?","0",""
"fim_61_negate","?","1",", tc_1"
"fim_61_offset","?","1",", tc_1"
"fim_62_abs","?","0",""
"fim_62_negate","?","1",", tc_4"
"fim_62_offset","?","1",", tc_1"
"fim_63_abs","?","0",""
